,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
51,21.642180000000003,5.249350379835246,81.45966438780844,5.741362317718918,4.795530473442042,15.766476615856469,131,164.6095238095238,184
52,18.962672,4.913656872863857,90.00003218077504,5.136423658539082,4.692228383833118,14.592529573173852,138,160.6413043478261,178
53,25.352268000000002,5.681505976968064,-28.88163536007626,8.050480677701646,4.2458218678129525,19.774582530491237,134,158.5040650406504,176
54,5.152900000000001,2.5614207093068133,45.00001609038752,2.568211829269541,2.568211829269541,7.264,135,180.0,201
55,23.084992000000003,5.421505759869197,76.40125479369787,7.894895280271501,4.044767455447692,19.774582530491237,126,158.59821428571428,181
56,12.573076000000002,4.001067052944827,-45.00001609038758,4.101094606538817,3.9390534604057383,11.914158871952155,135,167.60655737704917,185
57,27.001196000000004,5.863360001086825,-47.77902546479518,7.0291626295067955,4.91839967286229,18.600635487808624,134,163.31297709923663,178
58,8.656872000000002,3.3199806873098794,90.00003218077504,3.632,3.1014104318304385,9.988,130,151.23809523809524,166
59,14.634236000000001,4.316582905746968,-45.000016090387476,4.435828565989877,4.184632704699354,12.666370701221696,135,161.69014084507043,180
60,26.176732,5.773149082981867,53.48743353907612,7.073600912826198,4.7539904141979346,18.97674140244339,115,164.4724409448819,182
61,16.901512,4.638930204714865,-69.29163322679439,4.986378881095997,4.349816149379003,14.106264786586927,135,162.4512195121951,177
62,15.664816000000002,4.465989609504269,12.259825727768254,4.548192095909295,4.420565249386348,13.84031774390431,125,156.1578947368421,171
63,15.458700000000002,4.436510808078513,47.26132107961238,4.5993553613617015,4.324401315121493,13.46421182926954,131,158.52,181
64,19.581020000000002,4.993128176829644,37.87499719383523,5.082068439233442,4.968634600227885,15.28021182926954,134,177.66315789473686,199
65,16.695396000000002,4.610557276752265,-83.38011170415754,4.883161485267352,4.361345298206568,13.84031774390431,135,163.60493827160494,180
66,5.152900000000001,2.5614207093068133,45.00001609038752,2.568211829269541,2.568211829269541,7.264,140,173.68,207
67,7.4201760000000005,3.0737048511681766,45.00001609038752,3.1014104318304385,3.1014104318304385,9.08,135,155.25,169
68,10.718032000000001,3.694133482176423,90.00003218077504,3.9418238652450452,3.4529723205021274,10.74021182926954,134,163.80769230769232,180
69,13.191424000000001,4.098273134890902,90.00003218077504,4.342765708623941,3.864004108434669,12.024317743904312,133,156.484375,172
70,49.673956000000004,7.952788512379447,-20.332080085856827,24.084772782923636,2.8791267263641798,47.40958871952156,135,175.0746887966805,215
